"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation","Manure source","Manure DM (%)","Manure pH","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Rainfall rate (mm/h)","Emission factor (% of applied TAN)"
"290-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,19
"291-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,17
"087-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,21
"088-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,20
"089-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,15
"090-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,13
"004-2010",2010,"April","Open slot injection","Grass",10,"Not relevant","Cattle",6.5,7,"None",8.5,3.91,0.09,14
"041-2010",2010,"April","Open slot injection","Grass",10,"Not relevant","Pig",3.9,7.2,"None",8.5,3.91,0.09,9.8
"078-2010",2010,"April","Open slot injection","Grass",10,"Not relevant","Digestate",5.1,7.9,"None",8.5,3.91,0.09,17
"002-2010",2010,"April","Closed slot injection","None",0,"Not relevant","Cattle",6.5,7,"None",8.5,3.91,0.09,1.6
"039-2010",2010,"April","Closed slot injection","None",0,"Not relevant","Pig",3.9,7.2,"None",8.5,3.91,0.09,1.8
"076-2010",2010,"April","Closed slot injection","None",0,"Not relevant","Digestate",5.1,7.9,"None",8.5,3.91,0.09,2.6
"019-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle",6.5,7,"None",12.4,3.56,0.09,30
"056-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Pig",3.9,7.2,"None",12.4,3.56,0.09,15
"093-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Digestate",5.1,7.9,"None",12.4,3.56,0.09,30
"033-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle",6.5,7,"None",14.3,3.4,0.09,48
"070-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig",3.9,7.2,"None",14.3,3.4,0.09,33
"107-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Digestate",5.1,7.9,"None",14.3,3.4,0.09,50
"020-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle",6.5,7,"None",16.9,3.18,0.09,33
"252-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,29
"253-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,25
"254-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,20
"255-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,17
"021-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,27
"022-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,22
"023-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,15
"024-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,11
"057-2010",2010,"Summer","Trailing hose","Grass",10,"None","Pig",3.9,7.2,"None",16.9,3.18,0.09,16
"272-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,11
"273-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,10
"274-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,9.6
"275-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,8.8
"058-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,9.6
"059-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,8.9
"060-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,7.8
"061-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,6.7
"094-2010",2010,"Summer","Trailing hose","Grass",10,"None","Digestate",5.1,7.9,"None",16.9,3.18,0.09,30
"292-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,24
"293-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,24
"294-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,23
"295-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,23
"095-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,23
"096-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,22
"097-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,21
"098-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",16.9,3.18,0.09,20
"006-2010",2010,"Summer, before winter rapeseed","Closed slot injection","None",0,"Not relevant","Cattle",6.5,7,"None",17.5,3.1,0.09,1.6
"043-2010",2010,"Summer, before winter rapeseed","Closed slot injection","None",0,"Not relevant","Pig",3.9,7.2,"None",17.5,3.1,0.09,1.8
"080-2010",2010,"Summer, before winter rapeseed","Closed slot injection","None",0,"Not relevant","Digestate",5.1,7.9,"None",17.5,3.1,0.09,2.6
"005-2010",2010,"Summer, grass","Open slot injection","Grass",10,"Not relevant","Cattle",6.5,7,"None",15.8,3.28,0.09,15
"042-2010",2010,"Summer, grass","Open slot injection","Grass",10,"Not relevant","Pig",3.9,7.2,"None",15.8,3.28,0.09,10
"079-2010",2010,"Summer, grass","Open slot injection","Grass",10,"Not relevant","Digestate",5.1,7.9,"None",15.8,3.28,0.09,17
"034-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle",6.5,7,"None",16.6,3.22,0.09,48
"037-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Cattle",6.5,7,"None",16.6,3.22,0.09,48
"262-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Cattle",6.5,7,"None",16.6,3.22,0.09,37
"263-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Cattle",6.5,7,"None",16.6,3.22,0.09,37
"035-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Cattle",6.5,7,"None",16.6,3.22,0.09,34
"036-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Cattle",6.5,7,"None",16.6,3.22,0.09,34
"071-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Pig",3.9,7.2,"None",16.6,3.22,0.09,33
"074-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Pig",3.9,7.2,"None",16.6,3.22,0.09,33
"282-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Pig",3.9,7.2,"None",16.6,3.22,0.09,17
"283-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Pig",3.9,7.2,"None",16.6,3.22,0.09,17
"072-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Pig",3.9,7.2,"None",16.6,3.22,0.09,12
"073-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Pig",3.9,7.2,"None",16.6,3.22,0.09,12
"108-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Digestate",5.1,7.9,"None",16.6,3.22,0.09,50
"111-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Digestate",5.1,7.9,"None",16.6,3.22,0.09,50
"302-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Digestate",5.1,7.9,"None",16.6,3.22,0.09,32
"303-2010",2010,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Digestate",5.1,7.9,"None",16.6,3.22,0.09,32
"109-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Digestate",5.1,7.9,"None",16.6,3.22,0.09,26
"110-2010",2010,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Digestate",5.1,7.9,"None",16.6,3.22,0.09,26
"025-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Cattle",6.5,7,"None",14.6,3.45,0.09,32
"256-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,26
"257-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,22
"258-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,17
"259-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,15
"026-2010",2010,"Autumn","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,25
"027-2010",2010,"Autumn","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,19
"028-2010",2010,"Autumn","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,12
"029-2010",2010,"Autumn","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,7,"None",14.6,3.45,0.09,9.2
"062-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Pig",3.9,7.2,"None",14.6,3.45,0.09,15
"276-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,11
"277-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,10
"278-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,9
"279-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,8.1
"063-2010",2010,"Autumn","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,9.4
"064-2010",2010,"Autumn","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,8.6
"065-2010",2010,"Autumn","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,7
"066-2010",2010,"Autumn","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",14.6,3.45,0.09,5.8
"099-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Digestate",5.1,7.9,"None",14.6,3.45,0.09,30
"296-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,24
"297-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,24
"298-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,23
"299-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,21
"100-2010",2010,"Autumn","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,23
"101-2010",2010,"Autumn","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,22
"102-2010",2010,"Autumn","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,21
"103-2010",2010,"Autumn","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",14.6,3.45,0.09,19
"007-2010",2010,"Autumn","Open slot injection","Grass",10,"Not relevant","Cattle",6.5,7,"None",14.6,3.45,0.09,15
"044-2010",2010,"Autumn","Open slot injection","Grass",10,"Not relevant","Pig",3.9,7.2,"None",14.6,3.45,0.09,10
"081-2010",2010,"Autumn","Open slot injection","Grass",10,"Not relevant","Digestate",5.1,7.9,"None",14.6,3.45,0.09,17
"008-2010",2010,"Autumn","Closed slot injection","None",0,"Not relevant","Cattle",6.5,7,"None",14.6,3.45,0.09,1.6
"045-2010",2010,"Autumn","Closed slot injection","None",0,"Not relevant","Pig",3.9,7.2,"None",14.6,3.45,0.09,1.8
"082-2010",2010,"Autumn","Closed slot injection","None",0,"Not relevant","Digestate",5.1,7.9,"None",14.6,3.45,0.09,2.6
"032-2010",2010,"Winter-spring","Broadcast","None",0,"None","Cattle",6.5,7,"None",12,3.53,0.09,47
"260-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow < 12 hr","Cattle",6.5,7,"None",12,3.53,0.09,36
"261-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow > 12 hr","Cattle",6.5,7,"None",12,3.53,0.09,36
"030-2010",2010,"Winter-spring","Broadcast","None",0,"Deep < 12 hr","Cattle",6.5,7,"None",12,3.53,0.09,32
"031-2010",2010,"Winter-spring","Broadcast","None",0,"Deep > 12 hr","Cattle",6.5,7,"None",12,3.53,0.09,32
"069-2010",2010,"Winter-spring","Broadcast","None",0,"None","Pig",3.9,7.2,"None",12,3.53,0.09,33
"280-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow < 12 hr","Pig",3.9,7.2,"None",12,3.53,0.09,17
"281-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow > 12 hr","Pig",3.9,7.2,"None",12,3.53,0.09,17
"067-2010",2010,"Winter-spring","Broadcast","None",0,"Deep < 12 hr","Pig",3.9,7.2,"None",12,3.53,0.09,12
"068-2010",2010,"Winter-spring","Broadcast","None",0,"Deep > 12 hr","Pig",3.9,7.2,"None",12,3.53,0.09,12
"106-2010",2010,"Winter-spring","Broadcast","None",0,"None","Digestate",5.1,7.9,"None",12,3.53,0.09,50
"300-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow < 12 hr","Digestate",5.1,7.9,"None",12,3.53,0.09,32
"301-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow > 12 hr","Digestate",5.1,7.9,"None",12,3.53,0.09,32
"104-2010",2010,"Winter-spring","Broadcast","None",0,"Deep < 12 hr","Digestate",5.1,7.9,"None",12,3.53,0.09,25
"105-2010",2010,"Winter-spring","Broadcast","None",0,"Deep > 12 hr","Digestate",5.1,7.9,"None",12,3.53,0.09,25
"017-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.4,7,"None",4,4.02,0.09,21
"244-2000",2000,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.4,7,"None",4,4.02,0.09,13
"245-2000",2000,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.4,7,"None",4,4.02,0.09,9.9
"246-2000",2000,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.4,7,"None",4,4.02,0.09,8.1
"247-2000",2000,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.4,7,"None",4,4.02,0.09,7.5
"009-2000",2000,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.4,7,"None",4,4.02,0.09,9.7
"010-2000",2000,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.4,7,"None",4,4.02,0.09,6
"011-2000",2000,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.4,7,"None",4,4.02,0.09,3.6
"012-2000",2000,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.4,7,"None",4,4.02,0.09,2.7
"054-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,7.2,"None",4,4.02,0.09,14
"264-2000",2000,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",4,4.02,0.09,8.3
"265-2000",2000,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",4,4.02,0.09,6.7
"266-2000",2000,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",4,4.02,0.09,5.6
"267-2000",2000,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",4,4.02,0.09,5.1
"046-2000",2000,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",4,4.02,0.09,6.5
"047-2000",2000,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",4,4.02,0.09,4.5
"048-2000",2000,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",4,4.02,0.09,2.9
"049-2000",2000,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",4,4.02,0.09,2.2
"091-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Digestate",5.1,7.9,"None",4,4.02,0.09,28
"284-2000",2000,"March","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,21
"285-2000",2000,"March","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,18
"286-2000",2000,"March","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,15
"287-2000",2000,"March","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,13
"083-2000",2000,"March","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,19
"084-2000",2000,"March","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,15
"085-2000",2000,"March","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,10
"086-2000",2000,"March","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",4,4.02,0.09,7.8
"003-2000",2000,"March","Open slot injection","Grass",10,"Not relevant","Cattle",6.4,7,"None",4,4.02,0.09,12
"040-2000",2000,"March","Open slot injection","Grass",10,"Not relevant","Pig",3.9,7.2,"None",4,4.02,0.09,9.6
"077-2000",2000,"March","Open slot injection","Grass",10,"Not relevant","Digestate",5.1,7.9,"None",4,4.02,0.09,16
"001-2000",2000,"March","Closed slot injection","None",0,"Not relevant","Cattle",6.4,7,"None",4,4.02,0.09,1.6
"038-2000",2000,"March","Closed slot injection","None",0,"Not relevant","Pig",3.9,7.2,"None",4,4.02,0.09,1.8
"075-2000",2000,"March","Closed slot injection","None",0,"Not relevant","Digestate",5.1,7.9,"None",4,4.02,0.09,2.6
"018-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Cattle",6.4,7,"None",8.5,3.45,0.09,25
"248-2000",2000,"April","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,17
"249-2000",2000,"April","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,13
"250-2000",2000,"April","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,11
"251-2000",2000,"April","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,9.6
"013-2000",2000,"April","Trailing hose","None",0,"Deep 24 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,14
"014-2000",2000,"April","Trailing hose","None",0,"Deep 12 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,9.3
"015-2000",2000,"April","Trailing hose","None",0,"Deep 6 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,5.6
"016-2000",2000,"April","Trailing hose","None",0,"Deep 4 hr","Cattle",6.4,7,"None",8.5,3.45,0.09,4.2
"055-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Pig",3.9,7.2,"None",8.5,3.45,0.09,15
"268-2000",2000,"April","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",8.5,3.45,0.09,9.5
"269-2000",2000,"April","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",8.5,3.45,0.09,8.1
